participant_id,age,sex,handedness
A00040181,85,FEMALE,RIGHT
A00040182,71,FEMALE,RIGHT
A00040193,35,FEMALE,RIGHT
A00040248,77,FEMALE,RIGHT
A00040257,70,FEMALE,RIGHT
A00040285,68,MALE,RIGHT
A00040286,65,FEMALE,RIGHT
A00040311,66,FEMALE,RIGHT
A00040312,66,MALE,RIGHT
A00040324,70,MALE,RIGHT
A00040342,13,FEMALE,RIGHT
A00040343,63,FEMALE,RIGHT
A00040351,75,FEMALE,RIGHT
A00040382,79,MALE,RIGHT
A00040439,58,FEMALE,RIGHT
A00040440,8,FEMALE,RIGHT
A00040461,52,FEMALE,RIGHT
A00040462,47,FEMALE,RIGHT
A00040493,45,FEMALE,RIGHT
A00040494,45,FEMALE,RIGHT
A00040500,51,FEMALE,RIGHT
A00040517,61,MALE,RIGHT
A00040524,25,FEMALE,RIGHT
A00040525,43,FEMALE,RIGHT
A00040556,9,MALE,LEFT
A00040567,65,FEMALE,LEFT
A00040573,27,FEMALE,RIGHT
A00040580,60,FEMALE,RIGHT
A00040594,51,MALE,LEFT
A00040599,61,FEMALE,RIGHT
A00040623,34,FEMALE,RIGHT
A00040628,20,FEMALE,RIGHT
A00040629,76,FEMALE,LEFT
A00040640,28,FEMALE,RIGHT
A00040678,46,FEMALE,RIGHT
A00040740,23,MALE,RIGHT
A00040741,66,FEMALE,RIGHT
A00040757,49,FEMALE,RIGHT
A00040784,60,FEMALE,RIGHT
A00040798,11,MALE,RIGHT
A00040800,16,MALE,LEFT
A00040806,45,MALE,RIGHT
A00040827,18,FEMALE,RIGHT
A00040891,57,FEMALE,RIGHT
A00040915,21,MALE,RIGHT
A00040944,35,MALE,RIGHT
A00041503,8,MALE,RIGHT
A00041540,46,FEMALE,RIGHT
A00043240,15,FEMALE,LEFT
A00043282,16,FEMALE,RIGHT
A00043283,44,MALE,RIGHT
A00043299,34,FEMALE,RIGHT
A00043324,46,FEMALE,RIGHT
A00043325,56,MALE,RIGHT
A00043384,21,FEMALE,RIGHT
A00043417,53,FEMALE,RIGHT
A00043450,22,FEMALE,RIGHT
A00043462,21,MALE,LEFT
A00043466,20,MALE,RIGHT
A00043494,9,MALE,RIGHT
A00043509,23,MALE,RIGHT
A00043521,44,FEMALE,RIGHT
A00043617,47,FEMALE,RIGHT
A00043634,58,FEMALE,RIGHT
A00043635,50,MALE,RIGHT
A00043649,22,MALE,RIGHT
A00043677,25,MALE,LEFT
A00043704,27,MALE,RIGHT
A00043721,36,FEMALE,RIGHT
A00043739,49,FEMALE,RIGHT
A00043740,14,MALE,RIGHT
A00043758,16,FEMALE,RIGHT
A00043762,53,FEMALE,RIGHT
A00043788,13,FEMALE,RIGHT
A00043790,49,FEMALE,RIGHT
A00043998,28,MALE,RIGHT
A00044011,44,FEMALE,RIGHT
A00044012,19,FEMALE,RIGHT
A00044068,79,FEMALE,RIGHT
A00044084,17,FEMALE,RIGHT
A00044130,22,FEMALE,RIGHT
A00044131,22,MALE,RIGHT
